name,min megahertz,max megahertz,min megabytes,max megabytes,min megatexels,max megatexels,VendorID,MinDeviceID,MaxDeviceID,Unsupported,Laptop,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,DefaultRes,MaxDxLevel,DxLevel,MakeMeLast,CentroidHack,NoUserClipPlanes,ConVar.mat_antialias,ConVar.r_fastzreject,ConVar.mat_reducefillrate,ConVar.mat_forceaniso,ConVar.mat_picmip,ConVar.mat_slopescaledepthbias_decal,ConVar.mat_slopescaledepthbias_normal,ConVar.mat_depthbias_decal,ConVar.mat_depthbias_normal,ConVar.mat_trilinear,ConVar.mat_forcehardwaresync,ConVar.mat_specular,ConVar.mat_parallaxmap,ConVar.r_shadowrendertotexture,ConVar.r_waterforceexpensive,ConVar.r_waterforcereflectentities,ConVar.r_rootlod,ConVar.mat_vsync,ConVar.mat_bumpmap,ConVar.r_screenfademinsize,ConVar.r_screenfademaxsize,ConVar.mat_softwarelighting,ConVar.dsp_off,ConVar.dsp_slow_cpu,ConVar.r_shadows,ConVar.r_drawdetailprops,ConVar.r_drawmodeldecals,ConVar.r_drawflecks,ConVar.props_break_max_pieces,ConVar.r_decal_cullsize,ConVar.sv_alternateticks,ConVar.r_dynamic,ConVar.cl_ejectbrass,ConVar.cl_detaildist,ConVar.cl_detailfade,ConVar.r_dopixelvisibility,ConVar.r_VehicleViewDampen,ConVar.mat_forcemanagedtextureintohardware,ConVar.mat_hdr_level,ConVar.r_overlayfademin,ConVar.r_overlayfademax,ConVar.mat_colorcorrection,ConVar.mat_disable_ps_patch,ConVar.mat_motion_blur_enabled,ConVar.r_flashlightdepthtexture,ConVar.mat_disablehwmorph,ConVar.r_portal_stencil_depth,ConVar.mat_tonemapping_occlusion_use_stencil,DisableShaderOptimizations
memory [0-250),,,0,270,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [256-512),,,270,550,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,0,140,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,140,300,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,300,65535,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card/dxlevel specific stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,0x1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
ATI Unknown,,,,,,,0x1002,0x0000,0xffff,,,0,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon X600,,,,,,,0x1002,0x3150,0x3150,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireMV 2400,,,,,,,0x1002,0x3151,0x3151,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon X300,,,,,,,0x1002,0x3152,0x3152,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility FireGL V3200,,,,,,,0x1002,0x3154,0x3154,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireMV 2400,,,,,,,0x1002,0x3171,0x3171,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Radeon X600,,,,,,,0x1002,0x3e50,0x3e50,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL V3200,,,,,,,0x1002,0x3e54,0x3e54,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon X600,,,,,,,0x1002,0x3e70,0x3e70,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon IGP 320,,,,,,,0x1002,0x4136,0x4136,,,10,6706,1,693,640,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon IGP 340/RS200,,,,,,,0x1002,0x4137,0x4137,,,10,6706,1,693,640,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9500/9700,,,,,,,0x1002,0x4144,0x4144,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9800,,,,,,,0x1002,0x4145,0x4145,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI Radeon 9600TX,,,,,,,0x1002,0x4146,0x4146,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9600,,,,,,,0x1002,0x4146,0x4146,,,10,6706,1,693,800,,,,1,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL Z1 AGP Pro (9500),,,,,,,0x1002,0x4147,0x4147,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9800,,,,,,,0x1002,0x4148,0x4148,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9500,,,,,,,0x1002,0x4149,0x4149,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9800,,,,,,,0x1002,0x414a,0x414a,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI Radeon 9600,,,,,,,0x1002,0x4150,0x4152,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9550 (RV350LX),,,,,,,0x1002,0x4153,0x4153,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL T2 (9600),,,,,,,0x1002,0x4154,0x4154,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9600,,,,,,,0x1002,0x4155,0x4155,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI Radeon 9500/9700,,,,,,,0x1002,0x4164,0x4164,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9800,,,,,,,0x1002,0x4168,0x4168,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI Radeon 9600,,,,,,,0x1002,0x4170,0x4172,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9550,,,,,,,0x1002,0x4173,0x4173,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI Radeon 9600,,,,,,,0x1002,0x4175,0x4175,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Radeon 8500 AIW,,,,,,,0x1002,0x4242,0x4242,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon IGP 320M,,,,,,,0x1002,0x4336,0x4336,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon IGP 340M,,,,,,,0x1002,0x4337,0x4337,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9000,,,,,,,0x1002,0x4966,0x4967,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9000,,,,,,,0x1002,0x496e,0x496e,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon X800,,,,,,,0x1002,0x4a48,0x4a4c,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI FireGL X3-256,,,,,,,0x1002,0x4a4d,0x4a4d,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon 9800,,,,,,,0x1002,0x4a4e,0x4a4e,,1,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI Radeon X800,,,,,,,0x1002,0x4a4f,0x4a50,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Radeon X800,,,,,,,0x1002,0x4a54,0x4a54,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Radeon X800,,,,,,,0x1002,0x4a69,0x4a6b,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI FireGL X3-256,,,,,,,0x1002,0x4a6d,0x4a6d,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon X800,,,,,,,0x1002,0x4a70,0x4a70,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Radeon X800,,,,,,,0x1002,0x4a74,0x4a74,,,10,6706,1,693,1280,,,,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
ATI Radeon X800,,,,,,,0x1002,0x4b49,0x4b49,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Radeon X850,,,,,,,0x1002,0x4b4b,0x4b4b,,,10,6706,1,693,1280,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Radeon X800,,,,,,,0x1002,0x4b4c,0x4b4c,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Radeon X850,,,,,,,0x1002,0x4b57,0x4b57,,,10,6706,1,693,1280,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Radeon X850,,,,,,,0x1002,0x4b69,0x4b69,,,10,6706,1,693,1280,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Radeon X850,,,,,,,0x1002,0x4b6b,0x4b6c,,,10,6706,1,693,1280,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1600,400,,,,2,,,,,0,0,,,,
ATI Mobility Radeon 7500,,,,,,,0x1002,0x4c57,0x4c57,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon Mobility FIRE GL 7800,,,,,,,0x1002,0x4c58,0x4c58,,1,10,6706,1,693,640,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon 8500,,,,,,,0x1002,0x4c59,0x4c59,,1,10,6706,1,693,640,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility FIRE GL 9000,,,,,,,0x1002,0x4c64,0x4c64,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon 9000,,,,,,,0x1002,0x4c66,0x4c66,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9000,,,,,,,0x1002,0x4c67,0x4c67,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility 128 AGP 4X,,,,,,,0x1002,0x4d46,0x4d46,1,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9700,,,,,,,0x1002,0x4e44,0x4e44,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9500 PRO / 9700,,,,,,,0x1002,0x4e45,0x4e45,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9600 TX,,,,,,,0x1002,0x4e46,0x4e46,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL X1 AGP,,,,,,,0x1002,0x4e47,0x4e47,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9800,,,,,,,0x1002,0x4e48,0x4e4a,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI FireGL X2 (FGL 9800) AGP 4x/8x,,,,,,,0x1002,0x4e4b,0x4e4b,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon 9600/9650/9700,,,,,,,0x1002,0x4e50,0x4e50,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9600,,,,,,,0x1002,0x4e51,0x4e51,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon 9500,,,,,,,0x1002,0x4e52,0x4e52,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility FireGL T2 (9600),,,,,,,0x1002,0x4e54,0x4e54,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon 9550,,,,,,,0x1002,0x4e56,0x4e56,,1,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9500/9700,,,,,,,0x1002,0x4e64,0x4e66,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL X1 AGP,,,,,,,0x1002,0x4e67,0x4e67,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9800,,,,,,,0x1002,0x4e68,0x4e6a,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI FireGL X2-256/X2-256t,,,,,,,0x1002,0x4e6b,0x4e6b,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9600,,,,,,,0x1002,0x4e71,0x4e71,,,10,6706,1,693,1024,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 7200,,,,,,,0x1002,0x5144,0x5144,1,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL 8700/8800 Video Accelerator,,,,,,,0x1002,0x5148,0x5148,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 8500,,,,,,,0x1002,0x514c,0x514c,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 9100,,,,,,,0x1002,0x514d,0x514d,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 7500,,,,,,,0x1002,0x5157,0x5157,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon 7000,,,,,,,0x1002,0x5159,0x515a,,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon X700,,,,,,,0x1002,0x534c,0x534c,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon X300,,,,,,,0x1002,0x5460,0x5460,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon X600,,,,,,,0x1002,0x5462,0x5462,,1,10,6706,1,693,800,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,
ATI Mobility FireGL V3100,,,,,,,0x1002,0x5464,0x5464,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon X800,,,,,,,0x1002,0x5548,0x554b,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,0,,,,
ATI Radeon X800,,,,,,,0x1002,0x554d,0x554f,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,0,,,,
ATI FireGL V7100,,,,,,,0x1002,0x5550,0x5550,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL V5100,,,,,,,0x1002,0x5551,0x5551,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon X800,,,,,,,0x1002,0x5569,0x556b,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,0,,,,
ATI Radeon X800,,,,,,,0x1002,0x556d,0x556f,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,0,,,,
ATI FireGL V7100,,,,,,,0x1002,0x5570,0x5570,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL V5100,,,,,,,0x1002,0x5571,0x5571,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI FireGL V5000,,,,,,,0x1002,0x564b,0x564b,,,10,6706,1,693,1024,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Mobility Radeon X700,,,,,,,0x1002,0x564f,0x564f,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
ATI Mobility Radeon X700,,,,,,,0x1002,0x5652,0x5653,,1,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
ATI ATI-264VT2 PCI,,,,,,,0x1002,0x5654,0x5654,1,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Technologies Inc. ATI-264VT3 PCI,,,,,,,0x1002,0x5655,0x5655,1,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Technologies Inc. ATI-264VT4 PCI,,,,,,,0x1002,0x5656,0x5656,1,,10,6706,1,693,800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ATI Radeon X550,,,,,,,0x1002,0x5657,0x5657,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
ATI Radeon X550,,,,,,,0x1002,0x5677,0x5677,,,10,6706,1,693,1024,,,,1,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
